fecha,ubicacion,departamento,cultivo,latitud,longitud,altitud_m,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS2M,pH_suelo,humedad_suelo_pct
2007-01-31,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.05,31.28,17.73,63.51,0.0,,2.85,5.72,27.24
2007-02-01,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.83,31.14,17.28,70.96,0.0,18.01,1.75,6.28,32.76
2007-02-02,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,25.61,31.23,18.48,68.85,8.61,15.42,1.51,6.17,36.39
2007-02-03,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,25.7,30.27,17.49,73.31,0.0,21.61,2.01,6.64,26.45
2007-02-04,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.59,30.64,18.0,74.98,0.0,15.42,1.82,6.82,22.02
2007-02-05,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.99,31.6,17.2,71.96,0.0,20.95,1.94,6.11,26.39
2007-02-06,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.67,30.12,17.08,73.22,2.73,19.41,1.81,6.48,21.58
2007-02-07,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.03,29.94,17.69,73.55,0.0,21.95,1.88,6.4,24.59
2007-02-08,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.26,32.33,18.67,74.46,0.0,19.18,2.28,6.26,29.12
2007-02-09,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.31,30.92,17.13,72.12,0.0,20.0,1.83,7.05,34.0
2007-02-10,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,25.93,30.67,18.88,64.74,8.05,21.07,1.28,5.73,32.23
2007-02-11,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.81,31.96,18.64,79.38,0.0,21.36,1.81,5.8,34.77
2007-02-12,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.2,32.29,16.31,69.0,5.29,19.6,2.0,6.42,27.34
2007-02-13,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.86,29.52,17.76,72.6,6.53,15.93,2.51,6.52,26.22
2007-02-14,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,25.7,30.94,19.08,72.34,0.0,21.05,2.07,6.04,26.65
2007-02-15,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,25.64,31.85,17.47,70.29,9.81,15.48,2.35,6.35,31.94
2007-02-16,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,22.35,30.22,19.23,76.91,0.0,19.66,1.32,6.38,29.92
2007-02-17,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.27,28.32,17.81,65.48,7.38,19.73,1.62,6.22,24.92
2007-02-18,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.24,31.95,16.91,74.52,1.76,17.88,1.96,6.04,25.76
2007-02-19,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.22,33.16,17.94,68.5,0.0,19.43,2.34,6.18,24.32
2007-02-20,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.82,30.14,16.67,83.87,0.0,18.38,2.66,6.31,30.88
2007-02-21,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.58,34.49,19.02,71.36,0.0,17.09,1.68,6.08,27.07
2007-02-22,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.26,29.53,17.25,68.13,0.0,18.3,2.67,6.71,27.96
2007-02-23,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,25.63,30.89,17.04,79.62,0.0,20.08,1.84,6.17,34.98
2007-02-24,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.12,28.5,18.84,72.14,4.71,18.08,1.75,6.27,27.35
2007-02-25,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.55,30.15,15.4,75.42,0.0,18.52,1.64,6.2,31.78
2007-02-26,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.75,29.63,18.0,75.76,0.0,20.87,1.7,,22.99
2007-02-27,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.55,27.51,17.44,70.47,0.0,20.28,1.34,6.38,21.94
2007-02-28,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.71,30.86,17.04,70.08,2.27,20.52,2.21,6.9,16.32
2007-03-01,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.68,31.29,18.0,74.86,0.0,17.79,2.1,6.95,27.4
2007-03-02,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.5,29.89,18.79,71.41,0.0,18.36,2.02,7.13,32.36
2007-03-03,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.11,32.04,17.79,62.81,0.0,16.98,2.32,6.1,20.1
2007-03-04,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.41,30.31,19.02,77.46,0.0,19.19,1.31,6.8,29.69
2007-03-05,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.03,31.36,20.47,73.91,6.99,20.66,1.56,6.43,27.71
2007-03-06,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.83,31.0,19.24,70.45,15.27,18.11,2.2,6.08,36.93
2007-03-07,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,25.62,31.1,20.08,69.13,1.31,15.44,2.5,6.63,28.11
2007-03-08,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.65,29.25,20.65,73.65,20.85,20.18,1.58,6.57,43.67
2007-03-09,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,25.61,32.51,17.69,68.05,0.0,18.75,2.92,6.58,25.06
2007-03-10,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.28,31.89,17.62,77.26,0.0,14.36,1.38,5.95,26.32
2007-03-11,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,25.9,30.29,16.7,71.77,0.0,18.45,2.22,6.34,33.4
2007-03-12,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,22.74,29.38,18.72,69.0,0.0,18.67,2.93,6.42,28.07
2007-03-13,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.38,30.84,18.06,70.13,3.22,17.57,1.94,,36.48
2007-03-14,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,22.01,31.91,19.45,62.63,7.24,18.49,1.34,6.13,24.62
2007-03-15,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,25.98,31.72,19.47,76.61,1.55,17.95,2.1,5.97,32.03
2007-03-16,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.18,30.15,18.91,75.22,0.0,22.29,1.5,6.17,23.31
2007-03-17,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,22.9,32.72,16.96,68.92,0.79,20.21,2.4,5.64,19.47
2007-03-18,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.91,31.77,18.17,71.32,15.88,23.31,2.17,6.18,30.67
2007-03-19,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.24,30.72,16.57,75.76,0.0,21.06,2.09,6.49,32.91
2007-03-20,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,25.9,31.82,16.36,66.6,0.0,18.3,1.98,5.9,30.91
2007-03-21,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.03,29.64,19.54,68.58,1.98,24.26,1.94,6.46,31.63
2007-03-22,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.03,30.59,17.54,64.55,0.0,20.97,1.89,7.02,24.87
2007-03-23,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,26.03,31.45,17.64,76.16,12.31,17.55,1.8,6.37,34.8
2007-03-24,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.56,29.0,18.58,76.05,0.0,21.57,2.32,6.24,31.16
2007-03-25,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.03,30.53,19.02,73.67,1.66,21.11,,6.37,26.17
2007-03-26,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,25.2,28.91,18.7,67.79,0.0,21.56,1.83,6.25,35.23
2007-03-27,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.58,31.84,16.71,74.34,11.59,19.16,2.33,6.22,38.53
2007-03-28,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,26.47,30.16,17.75,80.27,0.0,17.25,2.22,6.29,23.98
2007-03-29,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.49,29.34,16.27,66.96,0.0,20.97,1.81,6.38,31.37
2007-03-30,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.39,31.06,18.37,75.46,0.0,15.86,1.93,6.22,25.01
2007-03-31,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.9,29.85,17.7,72.16,0.0,21.84,1.67,6.11,30.36
2007-04-01,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.7,30.76,18.6,68.42,0.0,16.32,1.77,6.27,30.92
2007-04-02,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.69,31.3,17.55,76.52,1.46,16.54,1.36,6.4,31.91
2007-04-03,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.25,25.82,17.53,82.03,10.41,14.72,1.89,6.48,32.65
2007-04-04,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,25.04,30.51,18.81,79.58,0.0,20.13,2.17,6.88,31.24
2007-04-05,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.05,30.18,19.61,71.92,11.08,18.8,1.78,6.42,24.53
2007-04-06,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.87,30.77,20.56,74.46,0.0,18.44,1.92,6.42,34.04
2007-04-07,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,22.9,30.21,18.81,75.07,0.0,17.19,1.75,6.15,33.98
2007-04-08,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,22.83,29.33,18.78,83.83,0.0,17.87,1.02,6.26,21.85
2007-04-09,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.04,30.78,19.39,81.61,21.33,17.56,1.24,6.36,37.57
2007-04-10,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.1,31.99,19.3,74.97,1.78,20.89,1.9,6.39,29.88
2007-04-11,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.99,30.85,19.12,78.3,0.0,19.22,1.78,6.65,27.55
2007-04-12,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,25.5,29.19,20.2,75.8,1.34,19.68,1.44,6.24,18.95
2007-04-13,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.79,27.09,16.82,79.8,0.0,18.74,1.89,6.39,25.14
2007-04-14,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.96,29.52,20.8,75.89,0.0,17.56,1.71,6.47,17.79
2007-04-15,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.98,29.18,17.4,74.59,0.0,19.98,1.95,6.23,25.78
2007-04-16,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.45,29.04,20.21,77.79,0.0,19.79,1.95,6.77,25.32
2007-04-17,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,25.39,30.24,20.48,72.55,5.35,18.41,1.44,6.23,28.0
2007-04-18,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.58,30.63,17.83,75.88,0.0,22.28,1.33,6.66,22.36
2007-04-19,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.71,29.4,18.61,81.46,0.0,17.78,1.51,6.95,21.87
2007-04-20,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,22.88,30.27,19.45,,4.87,17.65,2.05,6.63,21.58
2007-04-21,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,25.53,31.66,17.77,77.98,0.0,18.65,1.58,5.82,27.75
2007-04-22,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.06,31.27,16.17,77.18,0.0,17.28,1.25,5.95,33.8
2007-04-23,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.78,30.42,18.35,78.39,9.66,19.3,1.14,6.11,33.5
2007-04-24,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.96,31.47,19.61,75.55,0.0,20.06,1.8,6.31,27.02
2007-04-25,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.14,29.96,19.13,76.26,6.8,15.93,1.73,5.7,34.62
2007-04-26,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.51,31.2,15.5,86.44,6.75,20.22,1.28,6.61,24.76
2007-04-27,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.64,32.3,18.21,77.09,0.0,17.94,2.5,6.74,29.54
2007-04-28,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.8,30.08,18.6,78.25,0.0,19.28,1.24,6.97,22.27
2007-04-29,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.47,29.09,18.34,77.64,0.0,18.68,2.27,6.6,29.78
2007-04-30,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,22.68,28.88,19.45,78.85,0.0,17.4,2.25,6.35,28.63
2007-05-01,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.84,29.72,17.3,70.8,3.12,20.11,1.34,5.94,37.15
2007-05-02,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.91,28.87,20.65,82.91,5.91,14.22,0.94,6.76,41.97
2007-05-03,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,25.25,30.38,18.99,82.27,0.0,16.49,1.76,6.33,30.77
2007-05-04,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.97,28.56,17.53,73.08,9.55,19.78,2.21,6.67,27.85
2007-05-05,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,22.57,29.54,18.24,73.15,13.01,17.32,1.23,6.89,31.53
2007-05-06,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.48,29.78,18.87,78.7,0.0,17.1,1.62,6.15,24.69
2007-05-07,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,22.74,31.8,17.16,74.54,0.0,18.61,1.38,7.04,23.86
2007-05-08,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.22,28.76,20.62,71.81,13.88,17.83,2.09,6.97,24.48
2007-05-09,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.24,31.45,16.71,79.57,8.1,14.13,0.83,6.74,35.95
2007-05-10,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.27,29.06,16.78,80.82,4.49,14.97,1.37,6.33,
2007-05-11,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.03,28.95,19.1,83.16,0.0,17.22,0.8,6.53,34.14
2007-05-12,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,22.91,31.71,18.82,74.47,7.71,18.08,1.23,6.46,23.24
2007-05-13,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.9,28.62,17.66,84.18,0.0,15.93,1.04,6.43,31.9
2007-05-14,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.07,31.17,17.65,79.13,0.0,17.27,1.54,6.65,32.78
2007-05-15,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.29,28.1,16.56,80.54,37.5,14.74,1.6,,39.66
2007-05-16,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.91,30.8,18.11,79.34,0.0,17.64,1.4,6.32,22.06
2007-05-17,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.68,28.46,19.71,78.25,0.0,17.34,1.59,6.69,34.95
2007-05-18,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.5,29.71,17.09,72.67,6.03,17.11,1.81,6.38,32.24
2007-05-19,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.06,27.33,17.46,77.28,0.0,18.08,1.09,6.06,30.09
2007-05-20,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.38,29.62,17.84,75.95,4.33,16.4,1.61,6.14,21.63
2007-05-21,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.82,30.3,20.69,72.78,0.0,16.58,1.05,6.32,22.15
2007-05-22,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,22.38,30.35,19.16,75.12,0.07,15.91,1.76,5.88,28.94
2007-05-23,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.99,30.4,18.52,73.13,2.05,,1.53,7.0,21.75
2007-05-24,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,22.55,31.47,18.19,74.65,0.0,19.08,0.96,6.26,27.56
2007-05-25,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.83,31.39,19.61,79.38,0.0,18.6,1.61,6.14,30.3
2007-05-26,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.39,32.12,18.54,76.17,9.59,14.31,1.21,6.82,27.59
2007-05-27,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.06,30.34,19.59,81.59,13.59,19.62,1.47,6.31,
2007-05-28,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.5,30.25,20.57,74.78,0.0,18.86,2.18,7.03,31.73
2007-05-29,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.53,28.68,18.76,80.78,6.64,13.52,0.82,6.6,30.73
2007-05-30,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.56,29.3,18.61,77.18,0.0,18.72,1.37,6.34,29.41
2007-05-31,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.78,31.63,18.89,81.67,0.0,14.92,1.8,6.51,28.15
2007-06-01,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.72,29.5,18.81,78.89,11.09,17.54,2.72,6.78,21.83
2007-06-02,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.87,31.77,18.62,77.64,0.0,19.3,1.74,5.97,26.95
2007-06-03,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.03,28.9,18.59,84.35,0.0,18.29,1.59,6.01,29.39
2007-06-04,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,25.11,27.86,16.89,73.73,0.0,15.86,2.49,6.26,29.12
2007-06-05,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.64,27.9,16.24,68.37,0.0,20.03,1.87,6.11,39.07
2007-06-06,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.53,29.75,17.31,85.31,0.0,21.27,2.21,6.61,31.89
2007-06-07,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.3,28.62,18.0,75.15,0.0,16.59,2.18,6.64,14.13
2007-06-08,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.52,29.08,17.11,71.78,3.7,17.88,2.03,7.05,23.73
2007-06-09,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.49,29.91,19.15,74.48,0.0,21.27,2.42,6.23,22.4
2007-06-10,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.93,27.48,18.32,75.26,9.63,17.11,2.01,6.21,25.04
2007-06-11,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,21.21,29.57,19.77,84.31,0.0,16.59,1.94,6.02,29.98
2007-06-12,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.28,30.02,18.12,71.12,1.6,15.82,1.43,6.29,36.32
2007-06-13,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.33,29.58,18.1,70.34,0.0,18.97,1.69,6.42,30.58
2007-06-14,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,22.39,28.97,18.79,69.73,22.33,15.88,1.67,6.25,31.99
2007-06-15,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.37,29.06,19.02,89.32,6.1,18.89,1.95,7.03,29.42
